Name,Formula,Category,G. cal mol-1,SD. cal mol-1,S. cal mol-1 °K-1,SD. cal mol-1 °K-1,V. cm3 mol-1,SD. cm3 mol-1,a. cal mol-1 °K-1,SD. cal mol-1 °K-1,b·1000. cal mol-1 °K-1,SD·1000. cal mol-1 °K-1,c·10-5. cal mol-1 °K-1,SD·10-5. cal mol-1 °K-1,,,,,,,,,,Tmax. °K,EactH+,lgKH+,nH+,nFe+++,pH+,qH+,EactH2O,lgKH2O,nO2,pH2O,qH2O,EactOH-,lgKOH-,mOH-,pOH-,qOH-,EactPCO2,logKPCO2,nPCO2,pPCO2,qPCO2,Reaction,References to constants,References to uncertainties,References to kinetics,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuO2-2,Cu(1)O(2)-(2),aq,-41200,,-23.1,,4,,0.6024,,-6.3038,,8.2129,,-2.5183,,7.6532,,-13.9325,,3.5647,,-2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl.aq,Cu(1)Cl(1)+(0),aq,-22608,,22.06,,,,4.1084,,2253,,4.8575,,-2.8721,,17.3292,,967,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl2-,Cu(1)Cl(2)-(1),aq,-58038,,26.96,,4,,8.3943,,12.7182,,0.7442,,-3.3047,,36.7555,,3.6846,,1.2219,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl3-2,Cu(1)Cl(3)-(2),aq,-89963,,23.28,,4,,13.2482,,24.57,,-3914,,-3.7947,,63.9808,,7.9089,,2.8579,,-2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl+,Cu(1)Cl(1)+(1),aq,-16250,,-6.51,,4,,1748,,-3.5103,,7.1228,,-2.6338,,29356,,2953,,0.6472,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl2.aq,Cu(1)Cl(2)+(0),aq,-46142,,0.78,,3,,5.0806,,4627,,3.9244,,-2.9702,,37.5948,,8.0108,,-38,,0,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl3-,Cu(1)Cl(3)-(1),aq,-75338,,-2.21,,,,9.6259,,15.7252,,-0.4377,,-3429,,63.8881,,11.7108,,1.6605,,-1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl4-2,Cu(1)Cl(4)-(2),aq,-103579,,-18.48,,4,,14.6696,,28.0407,,-5.2782,,-3.9382,,87.5037,,14.0532,,3.4923,,-2,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuF+,Cu(1)F(1)+(1),aq,-53739,,-18.84,,4,,-0.8164,,-9.7719,,9.5838,,-2375,,33.5733,,3.8226,,0.8334,,1,,,,,,,,,,,,,,,,,,,,,,,,Sverjensky,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy+2,Dy(1)+(2),aq,-102800,,-3.6,,4.5,,0.0206,,-7.7248,,8.7724,,-2.4596,,9869,,-5.3159,,1.1144,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy+3,Dy(1)+(3),aq,-158700,,-55.2,,5,,-3.0003,,-15.1074,,11.6879,,-2.1545,,9.5076,,-9.4919,,2.3792,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dy+4,Dy(1)+(4),aq,-55700,,-104,,,,-4.3164,,-18.3144,,12933,,-2.0218,,40055,,-3.2586,,3.7484,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyCO3+,Dy(1)C(1)O(3)+(1),aq,-295800,,-48.1,,4,,-934,,-10.0536,,9.6821,,-2.3633,,-16.3311,,-14.9713,,1.2858,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyHCO3+2,Dy(1)H(1)C(1)O(3)+(2),aq,-301300,,-18.2,,4.5,,0.6017,,-6.3082,,8.2207,,-2.5181,,45.9011,,6.4931,,1.3375,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyOH+2,Dy(1)O(1)H(1)+(2),aq,-204700,,-10.9,,4.5,,2.6154,,-1.3941,,6295,,-2.7213,,2.8769,,-8.0863,,1.2206,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyO+,Dy(1)O(1)+(1),aq,-193400,,4.6,,4,,2.6935,,-1.2056,,6.2255,,-2.7291,,-28.1511,,-16.4991,,0.4799,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyO2H.aq,Dy(1)O(2)H(1)+(0),aq,-238200,,39.1,,3,,4.6969,,3.6855,,4.3051,,-2.9313,,-60.3933,,-26073,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyO2-,Dy(1)O(2)-(1),aq,-226400,,28.6,,4,,4.7414,,3.7936,,4.2636,,-2.9357,,-37.5629,,-22.0601,,1.1949,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyCl+2,Dy(1)Cl(1)+(2),aq,-190400,,-29.5,,4.5,,-0.2729,,-8441,,9.0516,,-2.4299,,24.6385,,-1.4386,,1.5067,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyCl2+,Dy(1)Cl(2)+(1),aq,-221400,,-14.4,,4,,2.8449,,-0.8347,,6077,,-2.7444,,21.6041,,-0.13,,0.7686,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyCl3.aq,Dy(1)Cl(3)+(0),aq,-252200,,-9.6,,3,,6.3268,,7.6646,,2.7424,,-3.0958,,-1.3925,,-5.5657,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyCl4-,Dy(1)Cl(4)-(1),aq,-283000,,-16.4,,4,,11.1518,,19.4467,,-1.8909,,-3.5828,,-18.8614,,-17746,,1.8776,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyH2PO4+2,Dy(1)H(2)P(1)O(4)+(2),aq,-431800,,-34.8,,4.5,,1.6038,,-3.8668,,7.2721,,-2619,,49.8123,,7.0451,,1.5897,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyNO3+2,Dy(1)N(1)O(3)+(2),aq,-185400,,-43.8,,4.5,,1.3347,,-4.5159,,7.5104,,-2.5922,,40.8317,,3.4913,,1.7247,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyF+2,Dy(1)F(1)+(2),aq,-232400,,-18.4,,4.5,,-2.9451,,-14.9683,,11.6229,,-2.1601,,25.4842,,-0.6031,,1.3375,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyF2+,Dy(1)F(2)+(1),aq,-304500,,-14.1,,4,,-2.6837,,-14.3302,,11.3726,,-2.1865,,27.3446,,1.8651,,0.7686,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyF3.aq,Dy(1)F(3)+(0),aq,-375400,,-25,,3,,-2.4481,,-13.7557,,11.1483,,-2.2102,,8.6168,,-2.0868,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyF4-,Dy(1)F(4)-(1),aq,-445600,,-54.9,,4,,-1.0402,,-10.3182,,9.7972,,-2.3523,,1.7998,,-12.4591,,2.4692,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DySO4+,Dy(1)S(1)O(4)+(1),aq,-341600,,-17.9,,4,,-1.4956,,-4.1268,,7365,,-2.6083,,-17.6132,,-13.9325,,0.8222,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Er+2,Er(1)+(2),aq,-91600,,-5.5,,4.5,,-0.0104,,-7.7996,,8.7981,,-2.4565,,10315,,-5.2548,,1.1437,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Er+3,Er(1)+(3),aq,-159900,,-58.3,,5,,-3.3041,,-15.8492,,11.9794,,-2.1238,,8.2815,,-10.0215,,2.4115,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Er+4,Er(1)+(4),aq,-28100,,-104.7,,,,-4.3256,,-18.3402,,12.9496,,-2.0207,,40.0003,,-3.3197,,3.7615,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErCO3+,Er(1)C(1)O(3)+(1),aq,-297200,,-51.9,,4,,-1.0539,,-10351,,9.8086,,-2351,,-17.2819,,-15.5009,,1348,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErHCO3+2,Er(1)H(1)C(1)O(3)+(2),aq,-302600,,-22.6,,4.5,,0.2724,,-7.1116,,8.5345,,-2.4849,,43.0537,,5.3015,,1.4006,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErOH+2,Er(1)O(1)H(1)+(2),aq,-206000,,-14.6,,4.5,,2.5526,,-1.5478,,6.3556,,-2.7149,,5.8637,,-7.2307,,1.2776,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErO+,Er(1)O(1)+(1),aq,-194800,,0.6,,4,,2.6315,,-1.3551,,6.2803,,-2.7229,,-24.9068,,-15.5621,,0.5394,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErO2H.aq,Er(1)O(2)H(1)+(0),aq,-240100,,34.8,,3,,4.5464,,3.3186,,4.4476,,-2.9161,,-54.7085,,-24.0971,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErO2-,Er(1)O(2)-(1),aq,-228800,,24,,4,,4.6152,,3.4877,,4.3792,,-2.9231,,-31391,,-20.1453,,1.2669,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErCl+2,Er(1)Cl(1)+(2),aq,-191700,,-33.2,,4.5,,-0.6062,,-9.2588,,9381,,-2.3961,,21.6825,,-2.6303,,1.5579,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErCl2+,Er(1)Cl(2)+(1),aq,-222600,,-19,,4,,2.4799,,-1.7255,,6427,,-2.7076,,15.6173,,-2455,,0.8449,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErCl3.aq,Er(1)Cl(3)+(0),aq,-253400,,-15.6,,3,,5.8915,,6.6023,,3158,,-3.0518,,-12.6987,,-9.4955,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErCl4-,Er(1)Cl(4)-(1),aq,-284200,,-24.7,,4,,10.7108,,18.3744,,-1.4789,,-3.5385,,-34.94,,-23.7519,,2008,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErH2PO4+2,Er(1)H(2)P(1)O(4)+(2),aq,-433100,,-39.3,,4.5,,1.2754,,-4.66,,7.5655,,-2.5863,,46.9907,,5.8534,,1.6556,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErNO3+2,Er(1)N(1)O(3)+(2),aq,-186600,,-49.7,,4.5,,1.0128,,-5.3011,,7.8182,,-2.5598,,38.1891,,2.2996,,1.81,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErF+2,Er(1)F(1)+(2),aq,-233700,,-20.4,,4.5,,-3.2867,,-15.8018,,11.9486,,-2.1257,,22.3012,,-1.7948,,1.3642,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErF2+,Er(1)F(2)+(1),aq,-305900,,-16.1,,4,,-3.0637,,-15.2566,,11.7333,,-2.1482,,20.9464,,-0.4598,,0.8002,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErF3.aq,Er(1)F(3)+(0),aq,-376800,,-27.7,,3,,-2.8834,,-14.8179,,11564,,-2.1663,,-2.6893,,-6.0166,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErF4-,Er(1)F(4)-(1),aq,-447100,,-59.3,,4,,-1.5016,,-11.4431,,10235,,-2.3058,,-14.8367,,-18465,,2539,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ErSO4+,Er(1)S(1)O(4)+(1),aq,-342700,,-21.1,,4,,1.3743,,-4.4228,,7.4814,,-2.5961,,-18.7119,,-14.4621,,0.8683,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu+2,Eu(1)+(2),aq,-129200,,-2.4,,4.5,,0.0407,,-7.6776,,8.7578,,-2.4615,,9.5539,,-5.3567,,1.0929,,2,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu+3,Eu(1)+(3),aq,-137300,,-53,,5,,-3.1037,,-15.3599,,11.7871,,-2144,,6.0548,,-10.49,,2.3161,,3,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu+4,Eu(1)+(4),aq,5000,,-103.3,,,,-4.3071,,-18.2951,,12.9322,,-2.0226,,40.0515,,-3.2178,,3.7353,,4,,,,,,,,,,,,,,,,,,,,,,,,Shock,et,al..,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCO3+,Eu(1)C(1)O(3)+(1),aq,-274300,,-45.4,,4,,-0.9842,,-10.1779,,9.7343,,-2.3581,,-19.5642,,-15.9695,,1.2465,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuHCO3+2,Eu(1)H(1)C(1)O(3)+(2),aq,-279800,,-15.2,,4.5,,0.4928,,-6572,,8.3198,,-2.5072,,38.9648,,4.2473,,1286,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuOH+2,Eu(1)O(1)H(1)+(2),aq,-183200,,-8,,4.5,,2.6569,,-1.2969,,6.2659,,-2.7253,,0.5828,,-8.7585,,1.1815,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuO+,Eu(1)O(1)+(1),aq,-171700,,7.7,,4,,2.7458,,-1.0743,,6.1663,,-2.7345,,-30.6415,,-17212,,0.4322,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuO2H.aq,Eu(1)O(2)H(1)+(0),aq,-216000,,42.4,,3,,4.8064,,3954,,4.1968,,-2.9424,,-64906,,-27.6415,,-0.3,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuO2-,Eu(1)O(2)-(1),aq,-203600,,32.1,,4,,4.8468,,4.0541,,4.1548,,-2.9465,,-42.3249,,-23.5471,,1.1424,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl+,Eu(1)Cl(1)+(1),aq,-161000,,19.5,,4,,5.1742,,4.8499,,3.8487,,-2.9794,,36.2777,,6.6125,,0.2557,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl+2,Eu(1)Cl(1)+(2),aq,-169100,,-26.9,,4.5,,-0.3777,,-8.6968,,9.1514,,-2.4194,,17.8123,,-3.6844,,1.4671,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl2+,Eu(1)Cl(2)+(1),aq,-200000,,-11.1,,4,,2.7262,,-1122,,6187,,-2.7325,,8.5409,,-4.5117,,0.7191,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl2.aq,Eu(1)Cl(2)+(0),aq,-193600,,35,,3,,9.1152,,14474,,0.0641,,-3.3773,,58.1447,,15.1277,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl3.aq,Eu(1)Cl(3)+(0),aq,-230800,,-5.3,,3,,6.2132,,7.3881,,2.8493,,-3.0843,,-22.7003,,-12.9719,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl3-,Eu(1)Cl(3)-(1),aq,-226000,,44.7,,4,,13946,,26.2721,,-4579,,-3865,,91.9571,,23.7331,,0.9527,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl4-,Eu(1)Cl(4)-(1),aq,-261600,,-10.5,,4,,10.9946,,19066,,-1.7473,,-3.5671,,-52.2612,,-29.0648,,1787,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuCl4-2,Eu(1)Cl(4)-(2),aq,-258500,,48.6,,4,,19473,,39.7656,,-9.8784,,-4.4228,,131.0045,,32.4289,,2.4755,,-2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuH2PO4+2,Eu(1)H(2)P(1)O(4)+(2),aq,-410500,,-31.7,,4.5,,1.4946,,-4.1236,,7.3517,,-2.6084,,42.8673,,4.7993,,1.5372,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuNO3+2,Eu(1)N(1)O(3)+(2),aq,-165000,,-39.7,,4.5,,1.2198,,-4.7951,,7.6178,,-2.5807,,33733,,1.2455,,1.6556,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF+,Eu(1)F(1)+(1),aq,-194600,,1.7,,4,,2.6504,,-1311,,6.2669,,-2.7247,,41.1681,,7448,,0.5256,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF2.aq,Eu(1)F(1)+(0),aq,-261000,,-4.1,,3,,3.5866,,0.9784,,5.3596,,-2.8193,,63.8849,,17.1229,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF3-,Eu(1)F(3)-(1),aq,-327700,,-20.5,,4,,5.5026,,5.6556,,3.5244,,-3.0127,,111.0055,,27.2121,,1.9339,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF4-2,Eu(1)F(4)-(2),aq,-394600,,-58.1,,4,,7.6287,,10.8431,,1.4936,,-3.2272,,161.1451,,37.7158,,4.0961,,-2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF+2,Eu(1)F(1)+(2),aq,-210700,,-17,,4.5,,-3.0453,,-15.2112,,11.7137,,-2.1501,,18.7828,,-2.8489,,1.3115,,2,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF2+,Eu(1)F(2)+(1),aq,-282500,,-12.7,,4,,-2.7958,,-14.6044,,11.4813,,-2.1752,,14.4597,,-2.5166,,0.7384,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF3.aq,Eu(1)F(3)+(0),aq,-353200,,-23.1,,3,,-2.5616,,-14.0324,,11.2555,,-2.1988,,-12.6911,,-9.4929,,-0.03,,0,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuF4-,Eu(1)F(4)-(1),aq,-423200,,-51.8,,4,,-1.1887,,-10678,,9.9326,,-2.3375,,-31.3648,,-23.7779,,2.4042,,-1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuSO4+,Eu(1)S(1)O(4)+(1),aq,-320200,,-15.3,,4,,-1.4399,,-4.2627,,7.4184,,-2.6027,,-20.8829,,-14.9306,,779,,1,,,,,,,,,,,,,,,,,,,,,,,,Haas,et,al..,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
